date,est_jour_ferie,nom_jour_ferie
2024-01-01,True,Nouvel An
2024-03-20,True,Fête de l'Indépendance
2024-04-09,True,Journée des Martyrs
2024-04-10,True,Aïd al-Fitr
2024-04-11,True,Aïd al-Fitr
2024-05-01,True,Fête du Travail
2024-06-16,True,Aïd al-Adha
2024-06-17,True,Aïd al-Adha
2024-07-07,True,Nouvel An Islamique
2024-07-25,True,Fête de la République
2024-08-13,True,Fête de la Femme
2024-09-15,True,Mouled
2024-10-15,True,Fête de l'Évacuation
2024-12-17,True,Fête de la Révolution
2025-01-01,True,Nouvel An
2025-03-20,True,Fête de l'Indépendance
2025-03-30,True,Aïd al-Fitr
2025-03-31,True,Aïd al-Fitr
2025-04-01,True,Aïd al-Fitr
2025-04-09,True,Journée des Martyrs
2025-05-01,True,Fête du Travail
2025-06-06,True,Aïd al-Adha
2025-06-07,True,Aïd al-Adha
2025-06-26,True,Nouvel An Islamique
2025-07-25,True,Fête de la République
2025-08-13,True,Fête de la Femme
2025-09-04,True,Mouled
2025-10-15,True,Fête de l'Évacuation
2025-12-17,True,Fête de la Révolution